ArgumentBlock,TWType,ArgumentNumber,ArgumentType,CorrectAnswer,premise1,premise2,conclusion,TW
T,O,1,TPFC,N,La prugna contiene il ... ,Il ... è un albero ,La prugna contiene un albero,NOCCIOLO
T,O,2,TPFC,N,Una certa quantità è un ... ,Un ... scava buche ,Una certa quantità scava buche,TASSO
T,O,3,TPFC,N,Fabrizio Corona è un ... ,Un ... è un fiore ,Fabrizio Corona è un fiore, NARCISO
T,O,4,TPFC,N,I capelli hanno un ... ,Un ... è un porcospino ,I capelli hanno un porcospino,RICCIO
T,O,5,TPFC,N,Un capitombolo è un ... ,Un ... è un nastro arrotolato ,Un capitombolo è un nastro arrotolato, ROTOLONE
T,O,6,TPFC,N,La buccia è uno ... ,Uno ... è una grossa differenza ,La buccia è una grossa differenza, SCARTO
T,O,7,TPTC,Y,Il caseificio produce ... ,... è formaggio ,Il caseificio produce formaggio, GRANA 
T,O,8,TPTC,Y,La televisione è un ... ,Un ... è molto diffuso ,La televisione è molto diffusa, MEDIA
T,O,9,TPTC,Y,La zia coltiva il ... ,Il ... è una pianta ,La zia coltiva una pianta,MIGLIO
T,O,10,TPTC,Y,Al bivio c'è un ... ,Un ... è un'interruzione ,Al bivio c'è un'interruzione, BLOCCO
T,O,11,TPTC,Y,Belen è una ... ,Una ... è una showgirl ,Belen è una showgirl,VALLETTA
T,O,12,TPTC,Y,In montagna c'è una ... ,Una ... è un piano inclinato ,In montagna c'è un piano inclinato,SCARPATA
T,O,13,TPPC,N,Una scommessa è una ... ,Una ... è trasmessa in TV ,Una scommessa è trasmessa in TV,PUNTATA
T,O,14,TPPC,N,Un assortimento è una ... ,Una ... è greca ,Un assortimento è greco,GAMMA
T,O,15,TPPC,N,Un portiere ha fatto una ... ,Una ... è una sfilata militare ,Un portiere ha fatto una sfilata militare,PARATA
T,O,16,TPPC,N,La guardia forestale ha una ... ,Una ... è una somma illegale ,La guardia forestale ha una somma illegale,MAZZETTA
T,O,17,TPPC,N,A Verona c'è l'... ,L'... è sabbia ,A Verona c'è sabbia,ARENA
T,O,18,TPPC,N,Talete è un ... ,Un ... è una lettura piacevole ,Talete è una lettura piacevole,SAGGIO
T,P,1,TPFC,N,Un lingotto è una ... ,Una ... è una lineetta ,Un lingotto è una lineetta,BARRA
T,P,2,TPFC,N,La luna forma uno ... ,Uno ... è una parte del frutto ,La luna forma una parte del frutto,SPICCHIO
T,P,3,TPFC,N,Il nuotatore percorre una ... ,Una ... è una sezione stradale ,Il nuotatore percorre una sezione stradale,CORSIA
T,P,4,TPFC,N,Una piantina è una ... ,Una ... avvolge una sigaretta ,Una piantina avvolge una sigaretta,CARTINA
T,P,5,TPFC,N,Una coperta imbottita è un ... ,Un ... è un giubbotto ,Una coperta imbottita è un giubbotto,PIUMINO
T,P,6,TPFC,N,Gli ecologisti lanciano un ... ,Un ... è una data d'esame ,Gli ecologisti lanciano una data d'esame,APPELLO
T,P,7,TPTC,Y,Arisa incide un ... ,Un ... è una raccolta di brani ,Arisa incide una raccolta di brani,ALBUM
T,P,8,TPTC,Y,Anna Frank ha scritto un ... ,Un ... contiene pensieri ,Anna Frank ha scritto pensieri,DIARIO
T,P,9,TPTC,Y,Una nave utilizza una ... ,Una ... è un molo del porto ,Una nave utilizza un molo del porto,BANCHINA
T,P,10,TPTC,Y,Un viaggiatore ha una ... ,Una ... è una carta geografica ,Un viaggiatore ha una carta geografica,MAPPA
T,P,11,TPTC,Y,Il giudice decreta il ... ,Il ... è una proroga ,Il giudice decreta una proroga,RINVIO
T,P,12,TPTC,Y,Il compositore scrive una ... ,Una ... è una composizione musicale ,Il compositore scrive una composizione musicale,MELODIA
T,P,13,TPPC,N,Quella trasmissione è una ... ,Una ... contrasta il suo libro ,Quella trasmissione contrasta il suo libro,REPLICA
T,P,14,TPPC,N,Mario incide una ... ,Una ... è un contenitore ,Mario incide un contenitore,CASSETTA
T,P,15,TPPC,N,L'occhio ha l'... ,L'... è un insieme di colori ,L'occhio ha un insieme di colori,IRIDE
T,P,16,TPPC,N,La benzina ha avuto un ... ,Un ... è un rilievo ,La benzina ha avuto un rilievo,RIALZO
T,P,17,TPPC,N,Carla aggiunge una ... ,Una ... è un piccolo involucro ,Carla aggiunge un piccolo involucro,BUSTINA
T,P,18,TPPC,N,Il papa ha un ... ,Un ... ha un elettorato ,Il papa ha un elettorato,SEGGIO
T,L,1,TPFC,N,Studiare è una ... ,Una ... è una corsa podistica ,Studiare è una corsa podistica,MARATONA
T,L,2,TPFC,N,La mamma è una ... ,La ... cova le uova ,La mamma cova le uova,CHIOCCIA
T,L,3,TPFC,N,I soci fondatori sono il ... ,Il ... è all'interno dell'atomo ,I soci fondatori sono all'interno dell'atomo,NUCLEO
T,L,4,TPFC,N,L'amicizia è un ... ,Un ... è una preparazione emolliente ,L'amicizia è una preparazione emolliente,BALSAMO
