ArgumentBlock,TWType,ArgumentNumber,ArgumentType,CorrectAnswer,premise1,premise2,conclusion,TW
T,distrattore,1,distrattore,Y,Il cane rincorre il ... ,Il ...  è un felino ,Il cane rincorre un felino,GATTO
T,distrattore,2,distrattore,Y,Lucia è la ... ,La ... è vestita di bianco ,Lucia è vestita di bianco,SPOSA
T,distrattore,3,distrattore,Y,Il comodino è un ...,Un ... è un oggetto,Il comodino è un oggetto,MOBILE
T,distrattore,4,distrattore,Y,Silvestro rincorre l'... ,L'... è Titti ,Silvestro rincorre Titti,UCCELLO
T,distrattore,5,distrattore,Y,Erika è una ... ,Una ... è femmina ,Erika è femmina,RAGAZZA
T,distrattore,6,distrattore,Y,L'anguilla è un ... ,Un ... vive in acqua ,L'anguilla vive in acqua,PESCE
T,distrattore,7,distrattore,Y,Una farmacia è un ... ,Un ... è un locale ,Una farmacia è un locale,NEGOZIO
T,distrattore,8,distrattore,Y,Brad Pitt è una ... ,Una ... è un essere umano ,Brad Pitt è un essere umano,PERSONA
T,distrattore,9,distrattore,Y,Walter studia ... ,... è una disciplina ,Walter studia una disciplina,CINEMA
T,distrattore,10,distrattore,Y,Chiara adora la ... ,La ... è un'area sabbiosa ,Chiara adora un'area sabbiosa,SPIAGGIA
T,distrattore,11,distrattore,Y,Silvio possiede una ... ,Una ... è una grande casa ,Silvio possiede una grande casa,VILLA
T,distrattore,12,distrattore,Y,Carla ha sposato il ... ,Il ... è un uomo ,Carla ha sposato un uomo,MARITO
T,distrattore,13,distrattore,Y,Il Louvre è un ... ,Un ... espone oggetti ,Il Louvre espone oggetti,MUSEO
T,distrattore,14,distrattore,Y,Mario lancia la ... ,La ... è un minerale ,Mario lancia un minerale,PIETRA
T,distrattore,15,distrattore,Y,La mamma prepara il ... ,Il ... è un pasto ,La mamma prepara un pasto,PRANZO
T,distrattore,16,distrattore,Y,Giuseppe tocca la ... ,La ... è un oggetto freddo ,Giuseppe tocca un oggetto freddo,NEVE
T,distrattore,17,distrattore,Y,Il Medioevo è un'... ,Un'... è un periodo storico ,Il Medioevo è un periodo storico,EPOCA
T,distrattore,18,distrattore,Y,L'Italia è una ... ,Una ... ha dei cittadini ,L'Italia ha dei cittadini,NAZIONE
